03-11 09:19:23: Training starting...
03-11 09:19:23: New best reward -6.9 (-100.0%) at episode 0, saving model...
03-11 09:19:23: New best reward -6.3 (-8.7%) at episode 14, saving model...
03-11 09:19:23: New best reward -3.9 (-38.1%) at episode 27, saving model...
03-11 09:19:24: New best reward -3.3 (-15.4%) at episode 379, saving model...
03-11 09:19:24: New best reward -2.1 (-36.4%) at episode 597, saving model...
03-11 09:19:24: New best reward -0.3 (-85.7%) at episode 598, saving model...
03-11 09:19:25: New best reward 3.9 (-1400.0%) at episode 1251, saving model...
03-11 09:19:43: New best reward 4.6 (+17.9%) at episode 9232, saving model...
03-11 09:19:47: New best reward 4.7 (+2.2%) at episode 11080, saving model...
03-11 09:19:51: New best reward 6.1 (+29.8%) at episode 12170, saving model...
03-11 09:20:00: New best reward 6.2 (+1.6%) at episode 15511, saving model...
03-11 09:20:01: New best reward 6.3 (+1.6%) at episode 15690, saving model...
03-11 09:20:01: New best reward 6.5 (+3.2%) at episode 15721, saving model...
03-11 09:20:04: New best reward 8.4 (+29.2%) at episode 16739, saving model...
